ROBO_ID;OCCURRENCE;CODE;;;;;;;;;;;;;;
268;23.01.2022;E0903;;;;;;;;;;;;;;
277;23.01.2022;E3994;;;;;;;;;;;;;;
305;23.01.2022;E5054;;;;;;;;;;;;;;
305;23.01.2022;E5054;;;;;;;;;;;;;;
311;23.01.2022;E3994;;;;;;;;;;;;;;
176;23.01.2022;E5055;;;;;;;;;;;;;;
186;24.01.2022;E5055;;;;;;;;;;;;;;
232;25.04.2022;E0898;;;;;;;;;;;;;;
227;25.01.2022;E1107;;;;;;;;;;;;;;
254;26.01.2022;E5055;;;;;;;;;;;;;;
281;27.01.2022;E0898;;;;;;;;;;;;;;
302;26.01.2022;E0027;;;;;;;;;;;;;;
302;26.01.2022;E0027;;;;;;;;;;;;;;
302;26.01.2022;E0027;;;;;;;;;;;;;;
302;26.01.2022;E0027;;;;;;;;;;;;;;
302;26.01.2022;E0027;;;;;;;;;;;;;;
308;27.01.2022;E3994;;;;;;;;;;;;;;
317;26.01.2022;E1106;;;;;;;;;;;;;;
317;26.01.2022;E1106;;;;;;;;;;;;;;
317;26.01.2022;E1106;;;;;;;;;;;;;;
317;26.01.2022;E1106;;;;;;;;;;;;;;
317;26.01.2022;E1106;;;;;;;;;;;;;;
317;26.01.2022;E1102;;;;;;;;;;;;;;
317;26.01.2022;E0021;;;;;;;;;;;;;;
319;26.01.2022;E1043;;;;;;;;;;;;;;
193;24.04.2022;E9407;;;;;;;;;;;;;;
193;24.04.2022;E5055;;;;;;;;;;;;;;
4;24.04.2022;E1043;;;;;;;;;;;;;;
125;24.04.2022;E5055;;;;;;;;;;;;;;
125;24.04.2022;E5055;;;;;;;;;;;;;;
305;23.04.2022;E9406;;;;;;;;;;;;;;
305;23.04.2022;E9404;;;;;;;;;;;;;;
305;23.04.2022;E9404;;;;;;;;;;;;;;
305;23.04.2022;E9404;;;;;;;;;;;;;;
305;23.04.2022;E9404;;;;;;;;;;;;;;
305;23.04.2022;E9404;;;;;;;;;;;;;;
305;23.04.2022;E1028;;;;;;;;;;;;;;
305;23.04.2022;E1028;;;;;;;;;;;;;;
24;28.01.2022;E5055;;;;;;;;;;;;;;
185;23.04.2022;E1043;;;;;;;;;;;;;;
125;22.04.2022;E1305;;;;;;;;;;;;;;
132;22.04.2022;E1290;;;;;;;;;;;;;;
132;22.04.2022;E1549;;;;;;;;;;;;;;
177;22.04.2022;E1060;;;;;;;;;;;;;;
177;26.04.2022;E1043;;;;;;;;;;;;;;
126;26.04.2022;E5055;;;;;;;;;;;;;;
140;26.04.2022;E1043;;;;;;;;;;;;;;
177;26.04.2022;E5055;;;;;;;;;;;;;;
177;26.04.2022;E1124;;;;;;;;;;;;;;
157;26.04.2022;E1028;;;;;;;;;;;;;;
157;26.04.2022;E1028;;;;;;;;;;;;;;
106;25.04.2022;E0898;;;;;;;;;;;;;;
253;24.01.2022;E1043;;;;;;;;;;;;;;
268;23.01.2022;E1046;;;;;;;;;;;;;;
268;23.01.2022;E1046;;;;;;;;;;;;;;
306;25.01.2022;E0021;;;;;;;;;;;;;;
340;25.01.2022;E9406;;;;;;;;;;;;;;
340;25.01.2022;E9406;;;;;;;;;;;;;;
340;25.01.2022;E9406;;;;;;;;;;;;;;
340;25.01.2022;E5055;;;;;;;;;;;;;;
341;25.01.2022;E9406;;;;;;;;;;;;;;
341;25.01.2022;E9406;;;;;;;;;;;;;;
346;25.01.2022;E0027;;;;;;;;;;;;;;
346;25.01.2022;E0027;;;;;;;;;;;;;;
53;25.01.2022;E1107;;;;;;;;;;;;;;
66;25.01.2022;E1043;;;;;;;;;;;;;;
1;25.01.2022;E5055;;;;;;;;;;;;;;
27;25.01.2022;E1043;;;;;;;;;;;;;;
27;25.01.2022;E5055;;;;;;;;;;;;;;
177;26.01.2022;E5054;;;;;;;;;;;;;;
311;26.01.2022;E0027;;;;;;;;;;;;;;
305;24.04.2022;E9406;;;;;;;;;;;;;;
305;24.04.2022;E9406;;;;;;;;;;;;;;
305;24.04.2022;E1060;;;;;;;;;;;;;;
314;24.04.2022;E0975;;;;;;;;;;;;;;
289;24.04.2022;E5055;;;;;;;;;;;;;;
289;24.04.2022;E1043;;;;;;;;;;;;;;
293;24.04.2022;E1043;;;;;;;;;;;;;;
293;24.04.2022;E1043;;;;;;;;;;;;;;
40;27.01.2022;E0898;;;;;;;;;;;;;;
71;28.01.2022;E5055;;;;;;;;;;;;;;
71;28.01.2022;E5055;;;;;;;;;;;;;;
71;28.01.2022;E5055;;;;;;;;;;;;;;
111;27.01.2022;E1043;;;;;;;;;;;;;;
151;28.01.2022;E1106;;;;;;;;;;;;;;
151;28.01.2022;E1106;;;;;;;;;;;;;;
151;28.01.2022;E1106;;;;;;;;;;;;;;
151;28.01.2022;E1102;;;;;;;;;;;;;;
155;27.01.2022;E5054;;;;;;;;;;;;;;
182;28.01.2022;E1043;;;;;;;;;;;;;;
182;28.01.2022;E5055;;;;;;;;;;;;;;
183;28.01.2022;E1043;;;;;;;;;;;;;;
192;28.01.2022;E1398;;;;;;;;;;;;;;
1;31.01.2022;E1043;;;;;;;;;;;;;;
157;21.04.2022;E1028;;;;;;;;;;;;;;
46;22.04.2022;E0027;;;;;;;;;;;;;;
46;22.04.2022;E0898;;;;;;;;;;;;;;
86;21.01.2022;E0975;;;;;;;;;;;;;;
177;20.01.2022;E5055;;;;;;;;;;;;;;
294;27.04.2022;E1549;;;;;;;;;;;;;;
300;27.04.2022;E5055;;;;;;;;;;;;;;
43;22.01.2022;E3792;;;;;;;;;;;;;;
53;23.01.2022;E3994;;;;;;;;;;;;;;
140;27.04.2022;E1043;;;;;;;;;;;;;;
45;28.04.2022;E0898;;;;;;;;;;;;;;
45;28.04.2022;E0027;;;;;;;;;;;;;;
71;28.04.2022;E5055;;;;;;;;;;;;;;
277;23.01.2022;E0021;;;;;;;;;;;;;;
26;25.01.2022;E5055;;;;;;;;;;;;;;
1;25.01.2022;E5055;;;;;;;;;;;;;;
1;25.01.2022;E5055;;;;;;;;;;;;;;
27;25.01.2022;E5055;;;;;;;;;;;;;;
45;24.01.2022;E0976;;;;;;;;;;;;;;
46;24.01.2022;E1106;;;;;;;;;;;;;;
46;24.01.2022;E1110;;;;;;;;;;;;;;
46;24.01.2022;E0027;;;;;;;;;;;;;;
46;24.01.2022;E0898;;;;;;;;;;;;;;
46;24.01.2022;E0898;;;;;;;;;;;;;;
106;24.01.2022;E0898;;;;;;;;;;;;;;
126;24.01.2022;E1287;;;;;;;;;;;;;;
126;24.01.2022;E1287;;;;;;;;;;;;;;
126;24.01.2022;E1288;;;;;;;;;;;;;;
126;24.01.2022;E1549;;;;;;;;;;;;;;
137;24.01.2022;E5055;;;;;;;;;;;;;;
138;24.01.2022;E1043;;;;;;;;;;;;;;
138;24.01.2022;E5055;;;;;;;;;;;;;;
138;24.01.2022;E5055;;;;;;;;;;;;;;
138;24.01.2022;E5055;;;;;;;;;;;;;;
172;23.01.2022;E9406;;;;;;;;;;;;;;
172;23.01.2022;E5055;;;;;;;;;;;;;;
175;23.01.2022;E1043;;;;;;;;;;;;;;
44;27.01.2022;E0975;;;;;;;;;;;;;;
46;27.01.2022;E0975;;;;;;;;;;;;;;
63;26.01.2022;E1124;;;;;;;;;;;;;;
63;26.01.2022;E1124;;;;;;;;;;;;;;
63;26.01.2022;E1043;;;;;;;;;;;;;;
71;27.01.2022;E1398;;;;;;;;;;;;;;
71;27.01.2022;E1398;;;;;;;;;;;;;;
111;26.01.2022;E5055;;;;;;;;;;;;;;
111;26.01.2022;E9406;;;;;;;;;;;;;;
111;26.01.2022;E9406;;;;;;;;;;;;;;
253;29.01.2022;E5055;;;;;;;;;;;;;;
289;27.01.2022;E5055;;;;;;;;;;;;;;
43;29.01.2022;E0903;;;;;;;;;;;;;;
45;29.01.2022;E0898;;;;;;;;;;;;;;
177;30.01.2022;E5054;;;;;;;;;;;;;;
315;21.04.2022;E0898;;;;;;;;;;;;;;
46;31.01.2022;E0027;;;;;;;;;;;;;;
46;31.01.2022;E0898;;;;;;;;;;;;;;
270;21.01.2022;E0975;;;;;;;;;;;;;;
336;22.01.2022;E1107;;;;;;;;;;;;;;
336;22.01.2022;E1107;;;;;;;;;;;;;;
